Name;Description
Abstraction;a process of breaking down complex systems into simpler parts.
API (Application Programming Interface);a set of rules and protocols used for defining software components' communication and interaction.
Architecture;the structure and organization of a software system used to meet system requirements and achieve system goals.
Artifact;architecture design documents, code, and other types of outputs.
Asynchronous;not occurring at the same time, referring to not needing to wait for other operations to complete when performing an action.
Behavior;the way a software system behaves, including system responses and interaction methods.
Big Data;a large collection of structured and unstructured data sets.
Binary;a system of numerical notation that uses only two digits: 0 and 1.
Black Box;a system or component whose internal workings are not visible to an external user.
Bottleneck;a point in a system where the flow of data is restricted, causing a slowdown in performance.
Cache;a high-speed storage area for frequently accessed data.
Class;a blueprint or template for creating objects in object-oriented programming.
Cloud Computing;a model for delivering on-demand computing resources and services over the internet.
Cohesion;the degree to which the components of a software system work together to achieve a common goal.
Compiler;a software tool that translates high-level programming code into machine-readable code.
Debugging;the process of identifying and fixing errors in software code.
Design Patterns;reusable solutions to commonly occurring software design problems.
Dependency;a relationship between two software components where one component relies on the other to function correctly.
Deployment;the process of delivering a software system to its end-users.
Distributed Computing;a model for processing data and performing computations using a network of computers.
Encapsulation;a mechanism for hiding a system's internal details and protecting its integrity.
Endpoint;a network address used for communicating with a service or application.
Event;a signal that indicates that something has happened in a software system.
Exception;an error or unexpected condition that occurs during the execution of a program.
Extensibility;the ability of a software system to be easily extended or modified.
Fault Tolerance;the ability of a system to continue functioning in the event of a hardware or software failure.
Framework;a set of tools, libraries, and conventions used for developing software applications.
Functional Programming;a programming paradigm that emphasizes the use of functions to perform computations.
Functionality;the features and capabilities of a software system.
Fusion;the process of combining two or more software components into a single component.
Garbage Collection;the process of automatically freeing up memory in a software system by deallocating objects that are no longer being used.
Gateway;a network device that connects two different networks using different protocols.
Generic;a type or class that can be used with different data types.
GUI (Graphical User Interface);a type of user interface that allows users to interact with software applications using graphical elements such as icons, menus, and buttons.
GZIP;a file compression format used to reduce the size of files for storage or transmission.
Hadoop;an open-source distributed computing platform used for storing and processing large data sets.
Hashing;a technique for converting a message or data into a fixed-size string of characters.
High Availability;the ability of a system to remain operational and accessible even in the event of hardware or software failures.
HTML (Hypertext Markup Language);a markup language used for creating web pages and other web-based documents.
HTTP (Hypertext Transfer Protocol);a protocol used for transmitting data over the internet.
